timestamp,market,strategy,direction,entry_price,size,won,pnl,pnl_after_fee,cumulative_pnl
2026-02-23T11:35:01.024741,btc-updown-15m-1771846200,market_maker,up,0.4000,7.50,0,-3.0000,-3.0000,-3.0000
2026-02-23T11:35:01.024882,btc-updown-15m-1771846200,market_maker,up,0.3800,7.89,0,-2.9982,-2.9982,-5.9982
2026-02-23T11:35:01.024985,btc-updown-15m-1771846200,market_maker,up,0.3600,8.33,0,-2.9988,-2.9988,-8.9970
2026-02-23T11:35:01.025231,btc-updown-15m-1771846200,market_maker,down,0.5900,5.08,1,2.0828,1.9812,-7.0158
2026-02-23T11:35:01.025329,btc-updown-15m-1771846200,market_maker,down,0.5700,5.26,1,2.2618,2.1566,-4.8592
2026-02-23T11:35:01.025400,btc-updown-15m-1771846200,market_maker,down,0.5500,5.45,1,2.4525,2.3435,-2.5157
2026-02-23T11:35:01.025474,btc-updown-15m-1771846200,market_maker,up,0.4100,7.32,0,-3.0012,-3.0012,-5.5169
2026-02-23T11:35:01.025547,btc-updown-15m-1771846200,market_maker,up,0.3900,7.69,0,-2.9991,-2.9991,-8.5160
2026-02-23T11:35:01.025618,btc-updown-15m-1771846200,market_maker,up,0.3700,8.11,0,-3.0007,-3.0007,-11.5167
2026-02-23T11:35:01.025691,btc-updown-15m-1771846200,market_maker,down,0.5900,5.08,1,2.0828,1.9812,-9.5355
2026-02-23T11:35:01.025759,btc-updown-15m-1771846200,market_maker,down,0.5700,5.26,1,2.2618,2.1566,-7.3789
2026-02-23T11:35:01.025825,btc-updown-15m-1771846200,market_maker,down,0.5500,5.45,1,2.4525,2.3435,-5.0354
2026-02-23T11:35:01.025960,btc-updown-15m-1771846200,market_maker,up,0.3800,7.89,0,-2.9982,-2.9982,-8.0336
2026-02-23T11:35:01.026073,btc-updown-15m-1771846200,market_maker,up,0.3600,8.33,0,-2.9988,-2.9988,-11.0324
2026-02-23T11:35:01.026144,btc-updown-15m-1771846200,market_maker,up,0.3400,8.82,0,-2.9988,-2.9988,-14.0312
2026-02-23T11:35:01.026220,btc-updown-15m-1771846200,market_maker,down,0.6100,4.92,1,1.9188,1.8204,-12.2108
2026-02-23T11:35:01.026293,btc-updown-15m-1771846200,market_maker,down,0.5900,5.08,1,2.0828,1.9812,-10.2296
2026-02-23T11:35:01.026365,btc-updown-15m-1771846200,market_maker,down,0.5700,5.26,1,2.2618,2.1566,-8.0730
2026-02-23T11:35:01.026436,btc-updown-15m-1771846200,market_maker,up,0.3400,8.82,0,-2.9988,-2.9988,-11.0718
2026-02-23T11:35:01.026511,btc-updown-15m-1771846200,market_maker,up,0.3200,9.38,0,-3.0016,-3.0016,-14.0734
2026-02-23T11:35:01.026591,btc-updown-15m-1771846200,market_maker,up,0.3000,10.00,0,-3.0000,-3.0000,-17.0734
2026-02-23T11:35:01.026678,btc-updown-15m-1771846200,market_maker,down,0.6500,4.62,1,1.6170,1.5246,-15.5488
2026-02-23T11:35:01.026755,btc-updown-15m-1771846200,market_maker,down,0.6300,4.76,1,1.7612,1.6660,-13.8828
2026-02-23T11:35:01.026830,btc-updown-15m-1771846200,market_maker,down,0.6100,4.92,1,1.9188,1.8204,-12.0624
2026-02-23T11:35:01.026921,btc-updown-15m-1771846200,market_maker,up,0.3200,9.38,0,-3.0016,-3.0016,-15.0640
2026-02-23T11:35:01.026999,btc-updown-15m-1771846200,market_maker,up,0.3000,10.00,0,-3.0000,-3.0000,-18.0640
2026-02-23T11:35:01.027070,btc-updown-15m-1771846200,market_maker,up,0.2800,10.71,0,-2.9988,-2.9988,-21.0628
2026-02-23T11:35:01.027151,btc-updown-15m-1771846200,market_maker,down,0.6700,4.48,1,1.4784,1.3888,-19.6740
2026-02-23T11:35:01.027382,btc-updown-15m-1771846200,market_maker,down,0.6500,4.62,1,1.6170,1.5246,-18.1494
2026-02-23T11:35:01.027465,btc-updown-15m-1771846200,market_maker,down,0.6300,4.76,1,1.7612,1.6660,-16.4834
2026-02-23T11:35:01.027534,btc-updown-15m-1771846200,market_maker,up,0.4300,6.98,0,-3.0014,-3.0014,-19.4848
2026-02-23T11:35:01.027601,btc-updown-15m-1771846200,market_maker,up,0.4100,7.32,0,-3.0012,-3.0012,-22.4860
2026-02-23T11:35:01.027680,btc-updown-15m-1771846200,market_maker,up,0.3900,7.69,0,-2.9991,-2.9991,-25.4851
2026-02-23T11:35:01.027748,btc-updown-15m-1771846200,market_maker,down,0.5600,5.36,1,2.3584,2.2512,-23.2339
2026-02-23T11:35:01.027815,btc-updown-15m-1771846200,market_maker,down,0.5400,5.56,1,2.5576,2.4464,-20.7875
2026-02-23T11:35:01.027982,btc-updown-15m-1771846200,market_maker,down,0.5200,5.77,1,2.7696,2.6542,-18.1333
2026-02-23T11:35:01.028063,btc-updown-15m-1771846200,market_maker,up,0.2800,10.71,0,-2.9988,-2.9988,-21.1321
2026-02-23T11:35:01.028131,btc-updown-15m-1771846200,market_maker,up,0.2600,11.54,0,-3.0004,-3.0004,-24.1325
2026-02-23T11:35:01.028217,btc-updown-15m-1771846200,market_maker,up,0.2400,12.50,0,-3.0000,-3.0000,-27.1325
2026-02-23T11:35:01.028302,btc-updown-15m-1771846200,market_maker,down,0.7200,4.17,1,1.1676,1.0842,-26.0483
2026-02-23T11:35:01.028387,btc-updown-15m-1771846200,market_maker,down,0.7000,4.29,1,1.2870,1.2012,-24.8471
2026-02-23T11:35:01.028456,btc-updown-15m-1771846200,market_maker,down,0.6800,4.41,1,1.4112,1.3230,-23.5241
2026-02-23T11:35:01.028526,btc-updown-15m-1771846200,market_maker,up,0.2100,14.29,0,-3.0009,-3.0009,-26.5250
2026-02-23T11:35:01.028596,btc-updown-15m-1771846200,market_maker,up,0.1900,15.79,0,-3.0001,-3.0001,-29.5251
2026-02-23T11:35:01.028664,btc-updown-15m-1771846200,market_maker,up,0.1700,17.65,0,-3.0005,-3.0005,-32.5256
2026-02-23T11:35:01.028742,btc-updown-15m-1771846200,market_maker,down,0.7800,3.85,1,0.8470,0.7700,-31.7556
2026-02-23T11:35:01.028814,btc-updown-15m-1771846200,market_maker,down,0.7600,3.95,1,0.9480,0.8690,-30.8866
2026-02-23T11:35:01.028904,btc-updown-15m-1771846200,market_maker,down,0.7400,4.05,1,1.0530,0.9720,-29.9146
2026-02-23T11:35:01.028981,btc-updown-15m-1771846200,market_maker,up,0.1600,18.75,0,-3.0000,-3.0000,-32.9146
2026-02-23T11:35:01.029051,btc-updown-15m-1771846200,market_maker,up,0.1400,21.43,0,-3.0002,-3.0002,-35.9148
2026-02-23T11:35:01.029129,btc-updown-15m-1771846200,market_maker,up,0.1200,25.00,0,-3.0000,-3.0000,-38.9148
2026-02-23T11:35:01.029209,btc-updown-15m-1771846200,market_maker,down,0.8300,3.61,1,0.6137,0.5415,-38.3733
2026-02-23T11:35:01.029281,btc-updown-15m-1771846200,market_maker,down,0.8100,3.70,1,0.7030,0.6290,-37.7443
2026-02-23T11:35:01.029349,btc-updown-15m-1771846200,market_maker,down,0.7900,3.80,1,0.7980,0.7220,-37.0223
