Date,Price
2023-01-01,1897.71
2023-02-01,1854.54
2023-03-01,1912.73
2023-04-01,1999.77
2023-05-01,1992.13
2023-06-01,1942.9
2023-07-01,1951.02
2023-08-01,1918.7
2023-09-01,1915.95
2023-10-01,1916.25
2023-11-01,1984.11
2023-12-01,2026.18
2024-01-01,2034.04
2024-02-01,2023.24
2024-03-01,2158.01
2024-04-01,2331.45
2024-05-01,2351.13
2024-06-01,2326.44
2024-07-01,2398.2
2024-08-01,2470.15
2024-09-01,2570.55
2024-10-01,2690.08
2024-11-01,2651.13
2024-12-01,2648.01
2025-01-01,2709.69
2025-02-01,2894.73
2025-03-01,2983.25
2025-04-01,3217.64
2025-05-01,3309.49
2025-06-01,3352.66
2025-07-01,3340.15
