Date,SP500
2023-01-01,3960.6565
2023-02-01,4079.684736842105
2023-03-01,3968.559130434783
2023-04-01,4121.467368421053
2023-05-01,4146.173181818183
2023-06-01,4345.372857142857
2023-07-01,4508.075500000001
2023-08-01,4457.358695652174
2023-09-01,4515.77
2023-10-01,4269.4
2023-11-01,4460.06
2023-12-01,4685.05
2024-01-01,4804.49
2024-02-01,5011.96
2024-03-01,5170.57
2024-04-01,5112.49
2024-05-01,5235.23
2024-06-01,5415.14
2024-07-01,5538.0
2024-08-01,5478.21
2024-09-01,5621.26
2024-10-01,5792.32
2024-11-01,5929.92
2024-12-01,6010.91
2025-01-01,5979.52
2025-02-01,6038.69
2025-03-01,5683.98
2025-04-01,5369.5
2025-05-01,5810.92
2025-06-01,6029.95
2025-07-01,6296.5
2025-08-01,6408.95
2025-09-01,6584.02
2025-10-01,6735.69
2025-11-01,6740.89
2025-12-01,6853.03
2026-01-01,6929.12
2026-02-01,6902.47
